simple_name,common_name_c,alternative_name_c,class
Plecotus taivanus,臺灣長耳蝠,台灣長耳蝠,Mammalia
Pseudorca crassidens,偽虎鯨,,Mammalia
Rattus exulans,緬甸小鼠,波里尼西亞鼠,Mammalia
Rattus losea,小黃腹鼠,,Mammalia
Rattus norvegicus,溝鼠,,Mammalia
Rattus rattus,玄鼠,,Mammalia
Rattus tanezumi,家鼠,亞洲家鼠,Mammalia
Rhinolophus monoceros,臺灣小蹄鼻蝠,"單角菊頭蝠,台灣小蹄鼻蝠",Mammalia
Rousettus leschenaultii,棕果蝠,,Mammalia
Scotophilus kuhlii,高頭蝠,小黃蝠,Mammalia
Sousa chinensis,中華白海豚,,Mammalia
Stenella attenuata,熱帶斑海豚,,Mammalia
Stenella coeruleoalba,條紋海豚,,Mammalia
Stenella longirostris,長吻飛旋海豚,,Mammalia
Steno bredanensis,糙齒海豚,皺齒海豚,Mammalia
Submyotodon latirostris,寬吻鼠耳蝠,,Mammalia
Suncus murinus,家鼩,"臭鼩,錢鼠",Mammalia
Tadarida insignis,東亞游離尾蝠,"游離尾蝠,皺鼻蝠",Mammalia
Ziphius cavirostris,柯氏喙鯨,,Mammalia
Balaenoptera musculus,藍鯨,,Mammalia
Balaenoptera physalus,長須鯨,,Mammalia
Delphinus capensis,長吻真海豚,,Mammalia
Delphinus delphis,真海豚,,Mammalia
Eothenomys melanogaster,黑腹絨鼠,天鵝絨鼠,Mammalia
Eschrichtius robustus,灰鯨,,Mammalia
Felis catus,貓,,Mammalia
Feresa attenuata,小虎鯨,,Mammalia
Globicephala macrorhynchus,短肢領航鯨,,Mammalia
Grampus griseus,瑞氏海豚,,Mammalia
Harpiocephalus harpia,毛翼管鼻蝠,"毛翼大管鼻蝠,大管鼻蝠",Mammalia
Harpiola isodon,金芒管鼻蝠,,Mammalia
Homo sapiens,智人,,Mammalia
Hypsugo pulveratus,灰伏翼,,Mammalia
Indopacetus pacificus,朗氏喙鯨,,Mammalia
Kerivoula furva,玄彩蝠,"臺灣彩蝠,彩蝠,台灣彩蝠",Mammalia
Kogia sima,侏儒抹香鯨,,Mammalia
Lagenodelphis hosei,弗氏海豚,,Mammalia
Macaca cyclopis,臺灣獼猴,台灣獼猴,Mammalia
Megaptera novaeangliae,大翅鯨,,Mammalia
Mesoplodon ginkgodens,銀杏齒中喙鯨,,Mammalia
Micromys minutus,巢鼠,,Mammalia
Alexandromys kikuchii,高山田鼠,"臺灣高山田鼠,菊池氏煙鼠,台灣高山田鼠",Mammalia
Miniopterus fuliginosus,東亞摺翅蝠,摺翅蝠,Mammalia
Anourosorex yamashinai,短尾鼩,"臺灣短尾鼩,台灣短尾鼩,山階氏鼩鼱",Mammalia
Apodemus agrarius,赤背條鼠,,Mammalia
Apodemus semotus,臺灣森鼠,台灣森鼠,Mammalia
Balaenoptera acutorostrata,小鬚鯨,,Mammalia
Balaenoptera borealis,鰮鯨,,Mammalia
Balaenoptera edeni,鯷鯨,,Mammalia
Balaenoptera omurai,大村鯨,,Mammalia
Balaenoptera taiwanica,臺灣鯨,台灣鯨,Mammalia
Bandicota indica,鬼鼠,,Mammalia
Barbastella darjelingensis,東方寬耳蝠,"印度寬耳蝠,寬耳蝠,臺灣寬耳蝠,台灣寬耳蝠",Mammalia
Bubalus bubalis,水牛,,Mammalia
Capricornis swinhoei,臺灣野山羊,"臺灣長鬃山羊,台灣長鬃山羊,台灣野山羊",Mammalia
Chimarrogale himalayica,水鼩,,Mammalia
Chodsigoa sodalis,細尾長尾鼩,,Mammalia
Crocidura tanakae,灰麝鼩,"臺灣灰麝鼩,台灣灰麝鼩,田中氏麝鼩",Mammalia
Cynopterus sphinx,印度犬果蝠,,Mammalia
Mogera kanoana,鹿野氏鼴鼠,"臺灣高山鼴鼠,台灣高山鼴鼠",Mammalia
Murina bicolor,黃胸管鼻蝠,,Mammalia
Murina gracilis,姬管鼻蝠,,Mammalia
Murina puta,臺灣管鼻蝠,"管鼻蝠,台灣管鼻蝠",Mammalia
Murina recondita,隱姬管鼻蝠,,Mammalia
Mus musculus,家鼷鼠,,Mammalia
Myotis frater,長尾鼠耳蝠,,Mammalia
Myotis laniger,華南水鼠耳蝠,"白腹鼠耳蝠,高山鼠耳蝠",Mammalia
Myotis pilosus,大足鼠耳蝠,,Mammalia
Myotis rufoniger,赤黑鼠耳蝠,"渡瀨氏鼠耳蝠,黑支蝙蝠",Mammalia
Myotis secundus,長趾鼠耳蝠,長趾寬吻鼠耳蝠,Mammalia
Myotis soror,紅棕鼠耳蝠,,Mammalia
Neophocaena phocaenoides,江豚,露脊鼠海豚,Mammalia
Niviventer coninga,臺灣刺鼠,"刺鼠,台灣刺鼠",Mammalia
Niviventer culturatus,臺灣高山白腹鼠,"高山白腹鼠,台灣高山白腹鼠",Mammalia
Peponocephala electra,瓜頭鯨,,Mammalia
Pipistrellus abramus,東亞家蝠,,Mammalia
Pipistrellus montanus,山家蝠,,Mammalia
Pipistrellus taiwanensis,臺灣家蝠,台灣家蝠,Mammalia
Balaenoptera edeni brydei,布氏鯨,,Mammalia
Belomys pearsonii kaleensis,臺灣小鼯鼠,"小鼯鼠,台灣小鼯鼠",Mammalia
Canis lupus familiaris,犬,狗,Mammalia
Capra aegagrus hircus,家羊,,Mammalia
Cervus nippon taiouanus,臺灣梅花鹿,"梅花鹿,台灣梅花鹿",Mammalia
Coelops frithii formosanus,臺灣無尾葉鼻蝠,"無尾葉鼻蝠,台灣無尾葉鼻蝠",Mammalia
Crocidura rapax kurodai,臺灣長尾麝鼩,台灣長尾麝鼩,Mammalia
Crocidura rapax lutaoensis,綠島長尾麝鼩,,Mammalia
Crocidura rapax tadae,蘭嶼長尾麝鼩,,Mammalia
Crocidura shantungensis hosletti,荷氏小麝鼩,小麝鼩,Mammalia
Eptesicus pachyomus horikawai,堀川氏棕蝠,"崛川氏棕蝠,棕蝠",Mammalia
Herpestes urva formosanus,食蟹獴,"棕簑貓,膨尾狸",Mammalia
