simple_name,common_name_c,alternative_name_c,class
Bombycilla,連雀屬,,Aves
Botaurus,大麻鷺屬,,Aves
Branta,黑雁屬,,Aves
Bubo,雕鴞屬,,Aves
Bubulcus,牛背鷺屬,,Aves
Bucephala,鵲鴨屬,,Aves
Bulweria,燕鹱屬,,Aves
Butastur,鵟鷹屬,,Aves
Buteo,鵟屬,,Aves
Butorides,綠鷺屬,,Aves
Cacatua,鳳頭鸚鵡屬,,Aves
Cacomantis,八聲杜鵑屬,,Aves
Cairina,棲鴨屬,,Aves
Calandrella,短趾百靈屬,,Aves
Calcarius,鐵爪鵐屬,,Aves
Calidris,濱鷸屬,,Aves
Calliope,野鴝屬,,Aves
Calonectris,麗鹱屬,,Aves
Caprimulgus,夜鷹屬,,Aves
Carpodacus,朱雀屬,,Aves
Cecropis,金腰燕屬,,Aves
Centropus,鴉鵑屬,,Aves
Ceryle,斑翡翠屬,,Aves
Ceyx,三趾翠鳥屬,,Aves
Chalcophaps,翠翼鳩屬,,Aves
Charadrius,鴴屬,,Aves
Chlidonias,浮鷗屬,,Aves
Chloris,綠金翅雀屬,,Aves
Chroicocephalus,棕頭鷗屬,,Aves
Ciconia,鸛屬,,Aves
Cinclus,河烏屬,,Aves
Cinnyris,花蜜鳥屬,,Aves
Circus,鷂屬,,Aves
Cisticola,扇尾鶯屬,,Aves
Clamator,鳳鵑屬,,Aves
Clanga,花鵰屬,,Aves
Clangula,長尾鴨屬,,Aves
Coccothraustes,錫嘴雀屬,,Aves
Collocalia,侏金絲燕屬,,Aves
Columba,鴿屬,,Aves
Copsychus,鵲鴝屬,,Aves
Coracina,鵑鵙屬,,Aves
Corvus,鴉屬,,Aves
Coturnix,鶉屬,,Aves
Cuculus,杜鵑屬,,Aves
Culicicapa,方尾鶲屬,,Aves
Cyanoderma,藍膚鶥屬,,Aves
Cyanopica,灰喜鵲屬,,Aves
Cyanoptila,白腹藍鶲屬,,Aves
Cygnus,天鵝屬,,Aves
Cyornis,藍仙鶲屬,,Aves
Netta,狹嘴潛鴨屬,,Aves
Nettapus,棉鴨屬,,Aves
Niltava,仙鶲屬,,Aves
Ninox,鷹鴞屬,,Aves
Nipponia,朱鹮屬,,Aves
Nisaetus,角鷹屬,,Aves
Nucifraga,星鴉屬,,Aves
Numenius,杓鷸屬,,Aves
Nycticorax,夜鷺屬,,Aves
Nymphicus,雞尾鸚鵡屬,,Aves
Oceanodroma,叉尾海燕屬,,Aves
Oenanthe,即鳥屬,,Aves
Onychoprion,棕背燕鷗屬,,Aves
Oriolus,黃鸝屬,,Aves
Otocichla,耳鶇屬,,Aves
Otus,角鴞屬,,Aves
Pandion,鶚屬,,Aves
Paroaria,臘嘴鵐屬,,Aves
Parus,山雀屬,,Aves
Passer,麻雀屬,,Aves
Passerculus,草鵐屬,,Aves
Pastor,粉紅椋鳥屬,,Aves
Pavo,孔雀屬,,Aves
Pelecanus,鵜鶘屬,,Aves
Pericrocotus,山椒鳥屬,,Aves
Periparus,煤山雀屬,,Aves
Pernis,蜂鷹屬,,Aves
Phaethon,熱帶鳥屬,,Aves
Phalacrocorax,鸕鷀屬,,Aves
Phalaropus,瓣足鷸屬,,Aves
Phasianus,雉屬,,Aves
Phoebastria,信天翁屬,,Aves
Phoenicopterus,紅鸛屬,,Aves
Phoenicurus,紅尾鴝屬,,Aves
Phylloscopus,柳鶯屬,,Aves
Pica,鵲屬,,Aves
Picus,綠啄木屬,,Aves
Pitta,八色鳥屬,,Aves
Platalea,琵鷺屬,,Aves
Plectrophenax,雪鵐屬,,Aves
Plegadis,彩鹮屬,,Aves
Ploceus,織布鳥屬,,Aves
Pluvialis,斑鴴屬,,Aves
Pnoepyga,鷦眉屬,,Aves
Podiceps,鸊鷉屬,,Aves
Pomatorhinus,彎嘴鶥屬,,Aves
Porphyrio,紫水雞屬,,Aves
Porzana,田雞屬,,Aves
Prinia,鷦鶯屬,,Aves
Prunella,岩鷚屬,,Aves
Pseudobulweria,擬燕鹱屬,,Aves
Psilopogon,擬啄木屬,,Aves
Psittacula,鸚鵡屬,,Aves
Psittacus,非洲鸚鵡屬,,Aves
Pterodroma,圓尾鹱屬,,Aves
Ptilinopus,果鳩屬,,Aves
Pycnonotus,鵯屬,,Aves
Pyrrhula,灰雀屬,,Aves
Rallina,斑秧雞屬,,Aves
Rallus,秧雞屬,,Aves
Recurvirostra,反嘴長腳鷸屬,,Aves
Regulus,戴菊屬,,Aves
Remiz,攀雀屬,,Aves
Riparia,沙燕屬,,Aves
Rissa,三趾鷗屬,,Aves
Rostratula,彩鷸屬,,Aves
Saundersilarus,黑嘴鷗屬,,Aves
Saxicola,石䳭屬,,Aves
Schoeniparus,烏線雀鶥屬,,Aves
Scolopax,丘鷸屬,,Aves
Serinus,絲雀屬,,Aves
Sibirionetta,鮮卑鴨屬,,Aves
Sinosuthora,漢鴉雀屬,,Aves
Sitta,鳾屬,,Aves
Sittiparus,赤腹山雀屬,,Aves
Spatula,琵鴨屬,,Aves
Spilornis,蛇鵰屬,,Aves
Spinus,黃雀屬,,Aves
Spizixos,鸚嘴鵯屬,,Aves
Spodiopsar,絲光椋鳥屬,,Aves
Stercorarius,賊鷗屬,,Aves
Sterna,燕鷗屬,,Aves
Sternula,小燕鷗屬,,Aves
Streptopelia,斑鳩屬,,Aves
Strix,林鴞屬,,Aves
Sturnia,北椋鳥屬,,Aves
Sturnus,椋鳥屬,,Aves
Sula,鰹鳥屬,,Aves
Surniculus,烏鵑屬,,Aves
