simple_name,common_name_c,alternative_name_c,class
Hemidactylus frenatus,疣尾蝎虎,"橫斑蜥虎,疣尾蜥虎,蜥虎,蝎虎",Reptilia
Hemidactylus stejnegeri,史丹吉氏蝎虎,"紅葉守宮,史氏蝎虎,史丹吉氏蜥虎",Reptilia
Hemiphyllodactylus typus,半葉趾虎,"半葉趾蝎虎,爪哇半葉趾虎",Reptilia
Hydrophis curtus,棘刺海蛇,"棘海蛇,刺海蛇,平頦海蛇",Reptilia
Hydrophis cyanocinctus,青環海蛇,,Reptilia
Hydrophis ornatus,麗斑海蛇,"淡灰海蛇,黑星海蛇,黑點海蛇",Reptilia
Hydrophis stokesii,大頭海蛇,"棘鱗海蛇,史托克斯海蛇",Reptilia
Hypsiscopus murphyi,鉛色水蛇,"水蛇,水泡蛇",Reptilia
Boa constrictor,巨蚺,,Reptilia
Caiman crocodilus,眼鏡凱門鱷,,Reptilia
Caretta caretta,赤蠵龜,"紅海龜,蠵龜",Reptilia
Chelonia mydas,綠蠵龜,"綠海龜,海龜,石龜,黑龜,菜龜",Reptilia
Ptyas major,青蛇,,Reptilia
Oligodon formosanus,赤背松柏根,"花秤桿蛇,臺灣小頭蛇,台灣小頭蛇",Reptilia
Orthriophis taeniurus friesi,臺灣黑眉錦蛇,台灣黑眉錦蛇,Reptilia
Pelodiscus sinensis,中華鱉,"圓魚,甲魚",Reptilia
Plestiodon chinensis,中國石龍子,"中國石龍子指名亞種,中國石龍子臺灣亞種,白斑石龍子,中國石龍子台灣亞種",Reptilia
Plestiodon leucostictus,白斑石龍子,中國石龍子白斑亞種,Reptilia
Pogona vitticeps,中部鬆獅蜥,,Reptilia
Praescutata viperina,海蝰蛇,"毒海蛇,黑尾海蛇",Reptilia
Psammodynastes pulverulentus papenfussi,茶斑蛇,"褐山蛇,茶斑大頭蛇,紫沙蛇",Reptilia
Pseudagkistrodon rudis,擬龜殼花,"偽蝮蛇,頸稜蛇",Reptilia
Ptyas mucosa,南蛇,"水南蛇,華錦蛇,華鼠蛇",Reptilia
Rhabdophis tigrinus formosanus,虎斑頸槽蛇臺灣亞種,"臺灣赤煉蛇,紅脖游蛇,虎斑游蛇,台灣赤煉蛇,虎斑頸槽蛇台灣亞種",Reptilia
Rhinoclemmys pulcherrima,木紋龜,,Reptilia
Sinomicrurus sauteri,梭德氏帶紋赤蛇,"梭德氏華珊瑚蛇,臺灣麗紋蛇,帶紋赤蛇,台灣麗紋蛇,羽鳥氏帶紋赤蛇,羽鳥氏華珊瑚蛇",Reptilia
Sinomicrurus swinhoei,環紋赤蛇,麗紋蛇,Reptilia
Trimerodytes annularis,赤腹遊蛇,"赤腹游蛇,半紋蛇,紅豬母,水赤鏈游蛇,赤鏈華游蛇",Reptilia
Sphenomorphus indicus,印度蜓蜥,"銅蜓蜥,蝘蜓",Reptilia
Trachemys scripta elegans,紅耳龜,"紅耳泥龜,巴西龜,巴西彩龜,翠龜,麻將龜,秀麗錦龜,七彩龜,彩龜",Reptilia
Plagiopholis styani,福建頸斑蛇,頸斑蛇,Reptilia
Plestiodon elegans,麗紋石龍子,五線石龍子,Reptilia
Protobothrops mucrosquamatus,龜殼花,"烙鐵頭,原矛頭蝮",Reptilia
Pseudoxenodon stejnegeri,史丹吉氏斜鱗蛇,,Reptilia
Ptyas korros,細紋南蛇,"過樹龍,黃梢蛇,灰鼠蛇",Reptilia
Python bivittatus,緬甸蟒,,Reptilia
Python regius,球蟒,,Reptilia
Python reticulatus,網紋蟒,,Reptilia
Rhabdophis swinhonis,斯文豪氏頸槽蛇,"斯文豪氏游蛇,臺灣游蛇,臺灣頸槽蛇,斯文豪氏遊蛇,台灣游蛇,台灣頸槽蛇",Reptilia
Scincella formosensis,臺灣滑蜥,台灣滑蜥,Reptilia
Sibynophis chinensis,黑頭蛇,黑頭劍蛇,Reptilia
Sphenomorphus incognitus,股鱗蜓蜥,"華南蝘蜓,鮑氏蜓蜥",Reptilia
Sphenomorphus taiwanensis,臺灣蜓蜥,台灣蜓蜥,Reptilia
Takydromus formosanus,臺灣草蜥,,Reptilia
Takydromus hsuehshanensis,雪山草蜥,,Reptilia
Takydromus kuehnei,古氏草蜥,"臺灣地蜥,台灣地蜥",Reptilia
Takydromus luyeanus,鹿野草蜥,"蛇舅母,舅母蛇(台)",Reptilia
Takydromus sauteri,梭德氏草蜥,"梭德氏舅母蛇,南臺草蜥,南台草蜥",Reptilia
Takydromus septentrionalis,北草蜥,蛇舅母,Reptilia
Takydromus stejnegeri,蓬萊草蜥,史丹吉氏草蜥,Reptilia
Takydromus viridipunctatus,翠斑草蜥,"蛇舅母,舅母蛇(台),臺灣草蜥,台灣草蜥",Reptilia
Trimeresurus gracilis,菊池氏龜殼花,"臺灣烙鐵頭,台灣烙鐵頭",Reptilia
Trimeresurus stejnegeri,赤尾青竹絲,赤尾鮐,Reptilia
Xenochrophis flavipunctatus,草花蛇,,Reptilia
Ptyas dhumnades,過山刀,烏梢蛇,Reptilia
Amphiesma stolatum,花浪蛇,"草腹鏈蛇,草游蛇,黃帶水蛇,草花蛇",Reptilia
Anolis sagrei,沙氏變色蜥,,Reptilia
Deinagkistrodon acutus,百步蛇,尖吻腹蛇,Reptilia
Dermochelys coriacea,革龜,稜皮龜,Reptilia
Diploderma brevipes,短肢攀蜥,,Reptilia
Diploderma luei,呂氏攀蜥,,Reptilia
Diploderma makii,牧氏攀蜥,,Reptilia
Elaphe guttata,玉米錦蛇,,Reptilia
Emydocephalus ijimae,飯島氏海蛇,飯島氏龜頭海蛇,Reptilia
Eutropis cumingi,庫氏真稜蜥,"庫明氏真稜蜥,庫氏南蜥",Reptilia
Gekko gecko,大守宮,大壁虎,Reptilia
Gekko guishanicus,龜山壁虎,,Reptilia
Gekko hokouensis,鉛山壁虎,"多疣壁虎,守宮,荔波壁虎",Reptilia
Gekko kikuchii,菊池氏壁虎,"菊池氏守宮,蘭嶼守宮,蘭嶼壁虎",Reptilia
Gekko monarchus,脊斑壁虎,,Reptilia
Gonyosoma frenatus,灰腹綠錦蛇,"灰腹綠樹錦蛇,灰腹綠瘦錦蛇",Reptilia
Hebius miyajimae,金絲蛇,"臺北游蛇,臺北腹鏈蛇,台北游蛇,台北腹鏈蛇",Reptilia
Hebius sauteri,梭德氏遊蛇,梭德氏游蛇,Reptilia
Hemidactylus brookii,密疣蝎虎,,Reptilia
Hydrophis melanocephalus,黑頭海蛇,,Reptilia
Hydrophis peronii,角海蛇,"棘刺海蛇,細鱗海蛇,棘眥海蛇",Reptilia
Iguana iguana,綠鬣蜥,美洲綠鬣蜥,Reptilia
Kerilia jerdonii,截吻海蛇,"截吻海蛇暹羅亞種,菱斑海蛇,哲東氏海蛇",Reptilia
Laticauda semifasciata,闊帶青斑海蛇,半環扁尾海蛇,Reptilia
Lepidochelys olivacea,欖蠵龜,麗龜,Reptilia
Lepidodactylus yami,雅美鱗趾虎,"臺灣鱗趾虎,雅美鱗趾蝎虎,台灣鱗趾虎",Reptilia
Lycodon rufozonatus,紅斑蛇,"赤煉蛇,火赤煉",Reptilia
Lycodon ruhstrati,白梅花蛇,"黑塊白環蛇,黑背白環蛇,白鏈蛇",Reptilia
Malaclemys terrapin,鑽紋龜,,Reptilia
Mauremys reevesii,金龜,"革龜,臭青龜,烏龜",Reptilia
Mauremys sinensis,斑龜,"花龜,綠龜",Reptilia
Achalinus formosanus,臺灣標蛇,"臺灣脊蛇,台灣脊蛇,台灣標蛇",Reptilia
Achalinus niger,標蛇,阿里山脊蛇,Reptilia
Acrochordus granulatus,瘰鱗蛇,,Reptilia
Argyrophis koshunensis,恆春盲蛇,大盲蛇,Reptilia
Ateuchosaurus chinensis,中國光蜥,光蜥,Reptilia
Boiga irregularis,棕樹蛇,,Reptilia
Boiga kraepelini,大頭蛇,紋花林蛇,Reptilia
Bungarus multicinctus,雨傘節,銀環蛇,Reptilia
Calamaria pavimentata,鐵線蛇,尖尾兩頭蛇,Reptilia
Chamaeleo calyptratus,高冠變色龍,,Reptilia
Clemmys guttata,星點龜,,Reptilia
Cuora flavomarginata,食蛇龜,黃緣閉殼龜,Reptilia
Daboia siamensis,鎖蛇,"鎖鍊蛇,七步蛇,鎖鏈蛇",Reptilia
Myrrophis chinensis,唐水蛇,"泥蛇,中國水蛇",Reptilia
Oligodon chinensis,中國小頭蛇,,Reptilia
Oligodon ornatus,赤腹松柏根,"黃腹紅寶蛇,飾紋小頭蛇",Reptilia
Pareas atayal,泰雅鈍頭蛇,,Reptilia
