ScientificName,ChineseName1,ChineseName2,ChineseName3
Metzia formosae,臺灣梅氏鯿,臺灣梅茨魚,車栓仔、臺灣黃鯝魚、臺灣細鯿、臺灣麥氏鯿
Metzia mesembrinum,大鱗梅氏鯿,大鱗梅茨魚,車栓仔、大鱗黃鯝魚、大鱗鱎、高木氏細鯿、大鱗細鯿、大鱗麥氏鯿
Microphysogobio alticorpus,高身小鰾鮈,,車栓仔、高身棒花魚、高身鐮柄魚
Microphysogobio brevirostris,短吻小鰾鮈,,車栓仔、短吻棒花魚、短吻鐮柄魚
Mylopharyngodon piceus,青魚,,黑鰱、黑鰡、烏鰡、黑鯪
Onychostoma alticorpus,高身白甲魚,高體白甲魚,高身鯝魚、赦鮸、鮸仔、高身鏟頜魚
Onychostoma barbatulum,臺灣白甲魚,,苦花、鯝魚、苦偎、齊頭偎、臺灣鏟頜魚
Opsariichthys evolans,長鰭馬口鱲,長鰭馬口魚,溪哥仔(幼魚及雌魚)、紅貓(雄)、粗嘴仔、白哥仔、臺灣平頜鱲、臺灣鱲
Opsariichthys kaopingensis,高屏馬口鱲,高屏馬口魚,溪哥仔(幼魚及雌魚)、紅貓(雄)、苦粗仔
Opsariichthys pachycephalus,粗首馬口鱲,厚頭馬口魚,溪哥仔(幼魚及雌魚)、紅貓(雄)、苦槽仔、闊嘴郎、粗首鱲
Pararasbora moltrechti,臺灣副細鯽,,臺灣白魚
Paratanakia chii,齊氏石鮒,齊氏田中鰟鮍,齊氏田中鰟鮍、牛屎鯽仔
Paratanakia himantegus,臺灣石鮒,革條田中鰟鮍,台灣石鮒、革條田中鰟鮍、革條副鱊、牛屎鯽仔、副彩鱊
Pseudorasbora parva,羅漢魚,麥穗魚,麥穗魚、尖嘴仔、車栓仔、尖嘴魚仔
Puntius semifasciolatus,條紋小鲃,五線小鲃,半紋小鲃、條紋二鬚鲃、紅目鮘、紅目猴、牛屎鯽仔、五線無鬚鲃
Puntius snyderi,斯奈德小鲃,,史尼氏小鲃、史尼氏二鬚鲃、紅目鮘、紅目猴、牛屎鯽仔、四點金仔(南投)、三吋仔(桃園)
Rhodeus ocellatus ocellatus,高體鰟鮍,,牛屎鯽仔、紅目鯽仔、鱊、點鱊
Sinibrama macrops,大眼華鯿,,目孔
Spinibarbus hollandi,何氏棘鲃,光倒刺鲃,更仔、留仔、捲仔
Squalidus argentatus,銀鮈,,車栓仔、銀鮈、頜鬚鮈
Squalidus banarescui,巴氏銀鮈,,車栓仔、班氏銀鮈、中臺銀鮈、班氏頜鬚鮈、憨仔條(草屯、芬園)
Squalidus iijimae,飯島氏銀鮈,臺灣銀鮈,車栓仔、飯島氏麻魚、臺銀鮈、南風魚、飯島氏頜鬚鮈、臺灣頜鬚鮈
Systomus rubripinnis,橘尾窄口鲃,,類小鲃、紅胸鰂、馬來鰂
Zacco platypus,平頜鱲,寬鰭鱲,溪哥仔(幼魚及雌魚)、青貓(雄)、寬鰭鱲、日本溪哥、溪哥仔(臺東)
Cobitis sinensis, 中華花鰍,中華鰍,中華鰍、花鰍、胡溜、沙鰍、沙溜、土鰍
Misgurnus anguillicaudatus,泥鰍,,土鰍、胡溜、魚溜、雨溜、河鰡、旋鰡、旋鰡鼓
Paramisgurnus dabryanus,大鱗副泥鰍,,紅泥鰍、土鰍、胡溜、魚溜、雨溜
Formosania lacustre,纓口臺鰍,,臺灣纓口鰍、鹿仔魚、花貼仔、石貼仔
Hemimyzon formosanus,臺灣間爬岩鰍,臺灣間吸鰍,臺灣石爬子、石貼仔
Hemimyzon sheni,沈氏間爬岩鰍,沈氏間吸鰍,石貼仔
Hemimyzon taitungensis,臺東間爬岩鰍,臺東間吸鰍,石貼仔
Sinogastromyzon nantaiensis,南臺中華爬岩鰍,南臺中華吸鰍,簸箕魚、木箕貼仔、石貼仔、棕簑貼、石碟仔
Sinogastromyzon puliensis,埔里中華爬岩鰍,埔里華吸鰍,簸箕魚、木箕貼仔、石貼仔、棕簑貼
Pterygoplichthys disjunctivus,野翼甲鯰,,琵琶鼠、清道夫、垃圾魚
Pterygoplichthys pardalis,豹紋翼甲鯰,,琵琶鼠、清道夫、垃圾魚
Liobagrus formosanus,臺灣鮰,,臺灣䱀、紅噹仔、黃蜂
Silurus asotus,鯰,,鯰魚、念仔魚、廉仔、鯤魚、黃骨魚
Plotosus lineatus,線紋鰻鯰,,鰻鯰、沙毛、海土虱、斜門(臺東)
Clarias batrachus,蟾鬍鯰,,土殺、泰國土虱、塘虱魚、泰國鯰、念仔魚、小丑武士
Clarias fuscus,塘虱魚,鬍鯰,鬍子鯰、土殺、本土土虱、鬍鯰、土剎
Clarias gariepinus,尖齒鬍鯰,,北非鬍子鯰、北非塘虱魚、非洲塘虱魚
Arius arius,絲鰭海鯰,,鐮海鯰、成仔魚、成仔丁、銀成、白肉成、臭臊成、賓士魚
Arius maculatus,斑海鯰,,成仔魚、成仔丁、銀成、白肉成、臭臊成、生仔魚、鰻鯰、賓士魚
Netuma thalassina,大頭多齒海鯰,,成仔魚、成仔丁、銀成、白肉成、臭臊成、賓士魚
Plicofollis nella,內爾褶囊海鯰,,內爾海鯰、成仔魚、成仔丁、銀成、白肉成、臭臊成、賓士魚
Plicofollis polystaphylodon,葡齒褶囊海鯰,,莫桑比克海鯰、成仔魚、成仔丁、銀成、白肉成、臭臊成、賓士魚
Tachysurus adiposalis,長脂瘋鱨,,長脂擬鱨、脂鮠、淡水河鮠、三角鉤、三角姑
Tachysurus brevianalis,短臀瘋鱨,,日月潭鮠、三角鉤、三角姑、臺灣鮠、短臀鮠
Argentina kagoshimae,鹿兒島水珍魚,,水珍魚
Glossanodon semifasciatus,半帶水珍魚,半帶舌珍魚,水珍魚
Melanolagus bericoides,黑淵鮭,,兔鮭
Nansenia ardesiaca,南氏魚,,兔鮭
Alepocephalus bicolor,雙色黑頭魚,雙色平頭魚,黑頭魚
Alepocephalus longiceps,長鰭黑頭魚,長鰭平頭魚,黑頭魚
Alepocephalus triangularis,尖吻黑頭魚,尖吻平頭魚,黑頭魚
Bajacalifornia burragei,伯氏巴傑加州黑頭魚,伯氏巴傑平頭魚,黑頭魚
Bathytroctes microlepis,小鱗淵眼魚,,黑頭魚
Conocara kreffti,克氏錐首魚,,黑頭魚
Leptoderma retropinna,連尾細皮黑頭魚,連尾細皮平頭魚,黑頭魚
Narcetes lloydi,魯氏黑口魚,,黑頭魚
Rouleina guentheri,根室魯氏魚,,貢氏魯氏魚、黑頭魚
Rouleina watasei,渡瀨魯氏魚,,黑頭魚
Talismania antillarum,安的列斯塔氏魚,,黑頭魚
Talismania longifilis,絲尾塔氏魚,,黑頭魚
Xenodermichthys nodulosus,平額魚,日本裸平頭魚,平頭魚
Plecoglossus altivelis altivelis,香魚,,魚、Ayu、年魚
Salanx acuticeps,尖頭銀魚,,尖頭銀魚
Oncorhynchus masou formosanus,[臺灣]櫻花鉤吻鮭,臺灣大麻哈魚,臺灣鮭、臺灣鉤吻鮭、臺灣鈎吻鮭、櫻花鉤吻鮭臺灣亞種、臺灣櫻鮭、梨山鮭、櫻花鉤吻鮭、臺灣鱒、大甲鱒、梨山鱒、環山鱒、次高鱒、臺灣櫻鱒
Oncorhynchus mykiss,麥奇鈎吻鮭,麥奇大麻哈魚,鱒魚、虹鱒、麥奇鉤吻鱒
Cyclothone alba,白圓罩魚,,光魚
Cyclothone atraria,黑圓罩魚,,光魚
Cyclothone pallida,蒼圓罩魚,,光魚
Diplophos orientalis,東方雙光魚,,光魚
Diplophos taenia,帶紋雙光魚,,光魚、細雙光魚
Gonostoma atlanticum,大西洋鑽光魚,,西鑽光魚、光魚
Sigmops elongatus,長纖鑽光魚,,光魚
Sigmops gracilis,纖鑽光魚,柔身纖鑽光魚,光魚
Triplophos hemingi,三鑽光魚,三鑽光魚(尾燈魚),叁光魚、光魚
Argyropelecus aculeatus,棘銀斧魚,,斧魚、海洋斧魚、銀斧
Argyropelecus affinis,長銀斧魚,,斧魚、海洋斧魚、銀斧
Argyropelecus gigas,巨銀斧魚,,斧魚、海洋斧魚、銀斧
Argyropelecus hemigymnus,半裸銀斧魚,,斧魚、海洋斧魚、銀斧
Argyropelecus sladeni,斯氏銀斧魚,,高銀斧魚、斧魚、海洋斧魚、銀斧
Maurolicus muelleri,穆氏暗光魚,,斧魚、海洋斧魚、銀斧
Polyipnus danae,達納氏燭光魚,,斧魚、海洋斧魚、銀斧
Polyipnus spinifer,頭棘燭光魚,,斧魚、海洋斧魚、銀斧
Polyipnus stereope,閃電燭光魚,,斧魚、海洋斧魚、銀斧
Polyipnus tridentifer,三齒燭光魚,,斧魚、海洋斧魚、銀斧
Polyipnus triphanos,三燭光魚,,斧魚、海洋斧魚、銀斧
Sternoptyx diaphana,褶胸魚,,斧魚、海洋斧魚、銀斧
Sternoptyx obscura,暗色褶胸魚,,低褶胸魚、斧魚、海洋斧魚、銀斧
Sternoptyx pseudobscura,擬暗色褶胸魚,,似低褶胸魚、斧魚、海洋斧魚、銀斧
Valenciennellus tripunctulatus,三斑叢光魚,,叢光魚、斧魚、海洋斧魚、銀斧
Ichthyococcus elongatus,長體頜光魚,,光魚
Pollichthys mauli,莫氏軸光魚,,光魚
Polymetme elongata,長刀光魚,,光魚
Vinciguerria attenuata,狹串光魚,,光魚
Vinciguerria nimbaria,智利串光魚,,串光魚、光魚
Woodsia nonsuchae,澳洲離光魚,,農蘇離光魚、光魚
Astronesthes chrysophekadion,金星衫魚,,巨口魚
Astronesthes formosana,臺灣星衫魚,,巨口魚
Astronesthes indicus,印度星衫魚,,巨口魚
Astronesthes indopacificus,印太星衫魚,,印度太平洋星衫魚、巨口魚
Astronesthes lucifer,螢光星衫魚,,巨口魚
Astronesthes splendidus,絲球星衫魚,,巨口魚
Astronesthes trifibulatus,三絲星衫魚,,巨口魚
Bathophilus kingi,四絲深巨口魚,,巨口魚
Bathophilus nigerrimus,絲鬚深巨口魚,,巨口魚
Borostomias elucens,掠食巨口魚,,巨口魚
Chauliodus macouni,馬康氏蝰魚,,巨口魚
Chauliodus sloani,斯氏蝰魚,,蝰魚、巨口魚
Echiostoma barbatum,單鬚刺巨口魚,,巨口魚
Eupogonesthes xenicus,真芒巨口魚,,巨口魚
Eustomias bifilis,歧鬚真巨口魚,,巨口魚
Heterophotus ophistoma,蛇口異星杉魚,,巨口魚
Idiacanthus fasciola,奇棘魚,,巨口魚
Leptostomias multifilis,多紋纖巨口魚,,巨口魚
Leptostomias robustus,強壯纖巨口魚,,巨口魚
Malacosteus niger,黑柔骨魚,,巨口魚
Melanostomias melanops,大眼黑巨口魚,,巨口魚
Melanostomias valdiviae,瓦氏黑巨口魚,,巨口魚
Pachystomias microdon,小牙厚巨口魚,,厚巨口魚、巨口魚
Photonectes albipennis,白鰭袋巨口魚,,巨口魚
Photostomias guernei,格氏光巨口魚,,巨口魚
Rhadinesthes decimus,細杉魚,,巨口魚
Stomias affinis,巨口魚,,貢氏巨口魚、巨口魚
Stomias nebulosus,星雲巨口魚,,巨口魚
Thysanactis dentex,纓光魚,,巨口魚
Ateleopus japonicus,日本軟腕魚,日本辮魚,軟腕魚
Ateleopus purpureus,紫軟腕魚,紫辮魚,軟腕魚
Ateleopus tanabensis,田邊軟腕魚,田邊辮魚,軟腕魚
Ijimaia dofleini,大眼大軟腕魚,大眼大辮魚,大眼軟腕魚、軟腕魚
Hime formosanus,臺灣姬魚,,仙女魚、狗母、汕狗母
Hime japonica,日本姬魚,,仙女魚、狗母、汕狗母
Leptaulopus damasi,達氏姬魚,,仙女魚、狗母、汕狗母
Harpadon microchir,小鰭鐮齒魚,短臂龍頭魚,水狗母、粉粘、那哥、那個魚、水仙
Harpadon nehereus,印度鐮齒魚,龍頭魚,水狗母、粉粘、那哥、那個魚
Saurida elongata,長體蛇鯔,長蛇鯔,狗母梭、長蜥魚、狗母(澎湖)、細鱗狗母(澎湖)
Saurida gracilis,細蛇鯔,,狗母梭、小蜥魚、海狗母梭(臺東)、狗母(澎湖)、番狗母(澎湖)、汕狗母(澎湖)
Saurida nebulosa,雲紋蛇鯔,,狗母梭、狗母
Saurida tumbil,多齒蛇鯔,,狗母梭、狗母
Saurida umeyoshii,梅芳蛇鯔,,松本氏蛇鯔、狗母梭、狗母
Saurida undosquamis,花斑蛇鯔,,狗母梭、狗母、黑狗母(澎湖)
Saurida wanieso,鱷蛇鯔,,狗母梭、絲鰭蜥魚、狗母(澎湖) 、汕狗母(澎湖)、粗鱗狗母(澎湖)
Synodus binotatus,雙斑狗母魚,吻斑狗母魚,雙斑狗母、狗母梭、狗母
Synodus capricornis,羊角狗母魚,,羊角狗母、狗母梭、狗母
Synodus dermatogenys,革狗母魚,,革狗母、狗母梭、狗母、番狗母(澎湖)
Synodus doaki,道氏狗母魚,,道氏狗母、狗母梭、狗母
Synodus fuscus,褐狗母魚,褐狗母魚(背斑狗母魚),褐狗母、狗母梭、狗母
Synodus jaculum,射狗母魚,斑尾狗母魚,射狗母、狗母梭、狗母、番狗母(澎湖)、汕狗母(澎湖)
Synodus macrops,大目狗母魚,叉斑狗母魚,大目狗母、狗母梭、狗母
Synodus orientalis,東方狗母魚,,東方狗母、狗母梭、狗母
Synodus rubromarmoratus,紅花斑狗母魚,,紅花斑狗母、狗母梭、狗母、番狗母(澎湖)
Synodus taiwanensis,臺灣狗母魚,,臺灣狗母、狗母梭、狗母
Synodus tectus,肩蓋狗母魚,被蓋狗母魚,肩蓋狗母、狗母梭、狗母
Synodus ulae,紅斑狗母魚,,紅斑狗母、狗母梭、狗母
Synodus variegatus,花斑狗母魚,雜斑狗母魚,狗母梭、狗母、花狗母
Trachinocephalus myops,準大頭狗母魚,,狗母梭、狗母、短吻花狗母、臭腥仔(澎湖)、臭腥公仔(澎湖)、汕頂狗母(澎湖)、大頭花桿狗母
Chlorophthalmus acutifrons,尖額青眼魚,,隆背青眼魚、奇士魚
Chlorophthalmus albatrossis,大眼青眼魚,,奇士魚
Chlorophthalmus borealis,北域青眼魚,,北青眼魚、奇士魚
Chlorophthalmus nigromarginatus,黑緣青眼魚,,奇士魚
Scopelosaurus hoedti,霍氏弱蜥魚,,
Bathypterois atricolor,小眼深海狗母魚,,小眼深海青眼魚
Bathypterois guentheri,貢氏深海狗母魚,,貢氏深海青眼魚
Bathytyphlops marionae,盲深海青眼魚,,青眼魚
Evermannella indica,印度齒口魚,,劍齒魚
Alepisaurus ferox,帆蜥魚,,長吻帆蜥魚、帆蜥魚
Omosudis lowii,錘頜魚,,錘頜魚
Dolichosudis fuliginosa,黑長裸蜥魚,,光鱗魚、裸狗母魚
Lestidium orientale,東方裸蜥魚,,裸狗母魚
Lestidium prolixum,長身裸蜥魚,長裸蜥魚,裸狗母魚
Lestrolepis japonica,日本光鱗魚,,裸狗母魚
Lestrolepis nigroventralis,黑腹光鱗魚,,光鱗魚
Stemonosudis gracilis,細長裸蜥魚,,光鱗魚、裸狗母魚
Stemonosudis miscella,斑長裸蜥魚,,光鱗魚、裸狗母魚
Stemonosudis rothschildi,羅氏長裸蜥魚,,光鱗魚、裸狗母魚
Stemonosudis siliquiventer ,銀身長裸蜥魚,,光鱗魚、裸狗母魚
Bathysaurus mollis,尖吻深海蜥魚,,狗母
Gigantura indica,印度巨尾魚,,巨尾魚
Neoscopelus macrolepidotus,大鱗新燈魚,,大鱗新燈籠魚、燈籠魚、七星魚、光魚
Neoscopelus microchir,小鰭新燈魚,,短鰭新燈籠魚、燈籠魚、七星魚、光魚
Neoscopelus porosus,多孔新燈魚,,多孔新燈籠魚、燈籠魚、七星魚、光魚
Benthosema fibulatum,帶底燈魚,,燈籠魚、七星魚、光魚
Benthosema pterotum,七星底燈魚,,燈籠魚、七星魚、光魚、鳥艾
Benthosema suborbitale,耀眼底燈魚,,燈籠魚、七星魚、光魚
Bolinichthys longipes,長鰭虹燈魚,,燈籠魚、七星魚、光魚
Bolinichthys supralateralis,側上虹燈魚,,燈籠魚、七星魚、光魚
Ceratoscopelus warmingii,瓦明氏角燈魚,,瓦氏角燈魚、燈籠魚、七星魚、光魚
Diaphus aliciae,長距眶燈魚,,燈籠魚、七星魚、光魚
Diaphus brachycephalus,短頭眶燈魚,,燈籠魚、七星魚、光魚
Diaphus chrysorhynchus,金鼻眶燈魚,,燈籠魚、七星魚、光魚
Diaphus coeruleus,藍光眶燈魚,,燈籠魚、七星魚、光魚
Diaphus diademophilus,冠冕眶燈魚,,燈籠魚、七星魚、光魚
Diaphus fragilis,符氏眶燈魚,,燈籠魚、七星魚、光魚
Diaphus fulgens,燦爛眶燈魚,,燈籠魚、七星魚、光魚
Diaphus garmani,喀氏眶燈魚,,亮胸眶燈魚、燈籠魚、七星魚、光魚
Diaphus knappi,奈氏眼眶魚,,燈籠魚、七星魚、光魚
Diaphus lucidus,耀眼眶燈魚,,燈籠魚、七星魚、光魚
Diaphus luetkeni,呂氏眶燈魚,,燈籠魚、七星魚、光魚
Diaphus mollis,短距眶燈魚,,燈籠魚、七星魚、光魚
Diaphus parri,帕爾眶燈魚,,巴氏眶燈魚、燈籠魚、七星魚、光魚
Diaphus regani,雷氏眶燈魚,翹光眶燈魚,翹光眶燈魚、燈籠魚、七星魚、光魚
Diaphus sagamiensis,相模灣眶燈魚,,相模眶燈魚、燈籠魚、七星魚、光魚
Diaphus schmidti,史氏眶燈魚,施氏眶燈魚,燈籠魚、七星魚、光魚
Diaphus signatus,叉尾眶燈魚,後光眶燈魚,燈籠魚、七星魚、光魚
Diaphus splendidus,亮眶燈魚,光亮眶燈魚,燈籠魚、七星魚、光魚
Diaphus suborbitalis,眶下眶燈魚,光腺眶燈魚,燈籠魚、七星魚、光魚
Diaphus watasei,渡瀨眶燈魚,,燈籠魚、七星魚、光魚
Diogenichthys atlanticus,大西洋明燈魚,,西明燈魚、燈籠魚、七星魚、光魚
Diogenichthys panurgus,印度洋明燈魚,,印明燈魚、燈籠魚、七星魚、光魚
Electrona risso,高體電燈魚,,燈籠魚、七星魚、光魚
Hintonia candens,犬牙亨燈魚,,燈籠魚、七星魚、光魚
Hygophum proximum,近壯燈魚,,燈籠魚、七星魚、光魚
Hygophum reinhardtii,萊氏壯燈魚,,燈籠魚、七星魚、光魚
Lampadena anomala,糙炬燈魚,,燈籠魚、七星魚、光魚
Lampadena luminosa,發光炬燈魚,,燈籠魚、七星魚、光魚
Lampanyctus alatus,翼珍燈魚,,細斑珍燈魚、燈籠魚、七星魚、光魚
Lampanyctus nobilis,諾貝珍燈魚,,名珍燈魚、燈籠魚、七星魚、光魚
Lampanyctus tenuiformis,天紐珍燈魚,,燈籠魚、七星魚、光魚
Lampanyctus turneri,圖氏珍燈魚,,燈籠魚、七星魚、光魚
Lobianchia gemellarii,吉氏葉燈魚,,日本葉燈魚、燈籠魚、七星魚、光魚
Myctophum asperum,粗鱗燈籠魚,,暗色燈籠魚、燈籠魚、七星魚、光魚
Myctophum aurolaternatum,金焰燈籠魚,,燈籠魚、七星魚、光魚
Myctophum nitidulum,閃光燈籠魚,,燈籠魚、七星魚、光魚
Myctophum obtusirostre,鈍吻燈籠魚,,燈籠魚、七星魚、光魚
Myctophum spinosum,櫛棘燈籠魚,,燈籠魚、七星魚、光魚
Nannobrachium nigrum,黑體短鰓燈魚,,黑體小鰭燈魚、燈籠魚、七星魚、光魚
Notolychnus valdiviae,瓦氏尖吻背燈魚,,尖吻背燈魚、燈籠魚、七星魚、光魚
Notoscopelus caudispinosus,尾棘背燈魚,,燈籠魚、七星魚、光魚
Notoscopelus resplendens,閃光背燈魚,,燈籠魚、七星魚、光魚
Symbolophorus evermanni,埃氏標燈魚,,燈籠魚、七星魚、光魚
Taaningichthys paurolychnus,小月燈魚,,少燈太寧燈魚、燈籠魚、七星魚、光魚
Triphoturus nigrescens,淺黑尾燈魚,,黑尾燈魚、燈籠魚、七星魚、光魚
Velifer hypselopterus,草鰺,旗月魚,草鰺、草甘(澎湖)
Lampris guttatus,斑點月魚,,月魚、花點三角仔、紅皮刀(臺東)
Eumecichthys fiski,菲氏真冠帶魚,,真冠帶魚
Lophotus capellei,凹鰭冠帶魚,,冠帶魚
Desmodema polystictum,多斑扇尾魚,,粗鰭魚、白龍魚(澎湖)
Trachipterus ishikawae,石川粗鰭魚,,石川氏粗鰭魚、粗鰭魚、龍宮使者、白龍王、龍王魚
Trachipterus trachypterus,粗鰭魚,,白龍魚
Zu cristatus,冠絲鰭魚,,白龍魚(澎湖)
Regalecus russelii,勒氏皇帶魚,,皇帶魚、龍宮使者、白龍王、龍王魚、鯡魚王、地震魚、皇帝魚（嘉義）
Polymixia berndti,貝氏鬚銀眼鯛,短鬚鬚鰃,銀眼鯛
Polymixia japonica,日本鬚銀眼鯛,日本鬚鰃,銀眼鯛、銀目鯛(澎湖)
Polymixia longispina,長棘鬚銀眼鯛,長棘鬚鰃,銀眼鯛
Bregmaceros japonicus,日本海鰗鰍,日本犀鱈,日本犀鱈、海鰗鰍、海土鰍(澎湖)
Bregmaceros lanceolatus,尖鰭海鰗鰍,尖鰭犀鱈,尖鰭犀鱈、海鰗鰍
Bregmaceros nectabanus,銀腰海鰗鰍,銀腰犀鱈,澎湖犀鱈、海鰗鰍、海土鰍(澎湖)
Bregmaceros pescadorus,澎湖海鰗鰍,澎湖犀鱈,澎湖犀鱈、海鰗鰍、海土鰍(澎湖)
Bregmaceros pseudolanceolatus,擬尖鰭海鰗鰍,擬尖鰭犀鱈,擬尖尾犀鱈、海鰗鰍
Bathygadus antrodes,孔頭底尾鱈,,鱈魚
Bathygadus furvescens,暗色底尾鱈,,鱈魚
Bathygadus garretti,加氏底尾鱈,,鱈魚
Bathygadus nipponicus,日本底尾鱈,,鱈魚
Bathygadus spongiceps,綿頭底尾鱈,,鱈魚
Cetonurus globiceps,球首鯨尾鱈,,鱈魚
Coelorinchus anatirostris,鴨嘴腔吻鱈,,鼠腔吻鱈、鱈魚
Coelorinchus asteroides,擬星腔吻鱈,,鱈魚
Coelorinchus brevirostris,短吻腔吻鱈,,鱈魚
Coelorinchus cingulatus,帶斑腔吻鱈,,橫帶腔吻鱈、鱈魚
Coelorinchus commutabilis,變異腔吻鱈,,鱈魚
Coelorinchus divergens,廣布腔吻鱈,,鱈魚
Coelorinchus formosanus,臺灣腔吻鱈,,鱈魚
Coelorinchus fuscigulus,黑喉腔吻鱈,,鱈魚
Coelorinchus hubbsi,哈氏腔吻鱈,,哈卜氏腔吻鱈、鱈魚
Coelorinchus japonicus,日本腔吻鱈,,鱈魚
Coelorinchus kamoharai,蒲原氏腔吻鱈,,鱈魚
Coelorinchus kishinouyei,岸上氏腔吻鱈,,鱈魚
Coelorinchus leptorhinus,窄吻腔吻鱈,,鱈魚
Coelorinchus longissimus,長管腔吻鱈,,鱈魚
Coelorinchus macrochir,大臂腔吻鱈,,長臂腔吻鱈、鱈魚
Coelorinchus multispinulosus,多棘腔吻鱈,,鱈魚
Coelorinchus parallelus,平棘腔吻鱈,,鱈魚
Coelorinchus productus,東海腔吻鱈,,鱈魚
Coelorinchus sheni,沈氏腔吻鱈,,鱈魚
Coelorinchus smithi,史氏腔吻鱈,,斯氏腔吻鱈、鱈魚
Coelorinchus spinifer,大棘腔吻鱈,,鱈魚
Coryphaenoides asper,粗體突吻鱈,,鱈魚
Coryphaenoides marginatus,黑緣突吻鱈,暗邊突吻鱈,鱈魚
Coryphaenoides microps,細眼突吻鱈,,大眼突吻鱈、鱈魚
Coryphaenoides nasutus,錐鼻突吻鱈,,鱈魚
Coryphaenoides rudis,野突吻鱈,,鱈魚
Gadomus colletti,柯氏鼠鱈,,鱈魚
Gadomus magnifilis,大絲鼠鱈,,鱈魚
Gadomus multifilis,多絲鼠鱈,,鱈魚
Hymenocephalus gracilis,細身膜首鱈,,鱈魚
Hymenocephalus lethonemus,刺吻膜首鱈,,鱈魚
Hymenocephalus longiceps,長頭膜首鱈,,鱈魚
Hymenocephalus striatissimus striatissimus,紋喉膜首鱈,,鱈魚
Kumba gymnorhynchus,裸吻舟尾鱈,,鱈魚
Kumba japonica,日本舟尾鱈,,鱈魚
Kumba punctulata,點斑舟尾鱈,,鱈魚
Lucigadus nigromarginatus,黑緣梭鱈,,黑斑梭鱈、鱈魚
Macrosmia phalacra,裸頭大尾鱈,,裸頭軟首鱈、鱈魚
Malacocephalus laevis,滑軟首鱈,,軟頭條鱈、鱈魚
Malacocephalus nipponensis,日本軟首鱈,,鱈魚
Mataeocephalus cristatus,冠愚首鱈,脊愚首鱈,冠軟首鱈、鱈魚
Mataeocephalus hyostomus,下口愚首鱈,豬嘴愚首鱈,下口軟首鱈、鱈魚
Nezumia coheni,科氏奈氏鱈,,鱈魚
Nezumia condylura,獅鼻奈氏鱈,,鱈魚
Nezumia darus,達氏庫隆長尾鱈,,鱈魚
Nezumia evides,俊奈氏鱈,,鱈魚
Nezumia proxima,原始奈氏鱈,,鱈魚
Nezumia spinosa,長棘奈氏鱈,,鱈魚
Pseudocetonurus septifer,擬櫛尾鱈,,鱈魚
Pseudonezumia cetonuropsis,大頭擬奈氏鱈,,鱈魚
Sphagemacrurus decimalis,菲律賓短吻鼠尾鱈,菲律賓短吻長尾鱈,菲律賓短吻長尾鱈、鱈魚
Sphagemacrurus pumiliceps,矮頭短吻鼠尾鱈,矮頭短吻長尾鱈,矮頭短吻長尾鱈、鱈魚
Sphagemacrurus richardi,里氏短吻鼠尾鱈,里氏短吻長尾鱈,里氏短吻長尾鱈、鱈魚
Spicomacrurus kuronumai,麥氏鏢吻鱈,,庫氏膜首鱈、鱈魚
Squalogadus modificatus,卵首鱈,,鱈魚
Trachonurus sentipellis,棘皮粗尾鱈,糙皮粗尾鱈,鱈魚
Trachonurus villosus,多毛粗尾鱈,粗尾鱈,鱈魚
Ventrifossa divergens,歧異凹腹鱈,,鱈魚
Ventrifossa fusca,暗色凹腹鱈,,鱈魚
Ventrifossa garmani,加曼氏凹腹鱈,,鱈魚
Ventrifossa longibarbata,長鬚凹腹鱈,,鱈魚
Ventrifossa macroptera,大鰭凹腹鱈,,鱈魚
Ventrifossa nigrodorsalis,黑背鰭凹腹鱈,,鱈魚
Ventrifossa rhipidodorsalis,扇鰭凹腹鱈,,鱈魚
Ventrifossa saikaiensis,西海凹腹鱈,,鱈魚
Antimora microlepis,細鱗擬深海鱈,,鱈魚
Gadella jordani,喬丹氏短稚鱈,,無鬚稚鱈、鱈魚
Guttigadus nana,小絲鰭鱈,,小瘤鱈、鱈魚
Laemonema rhodochir,玫紅絲鰭鱈,,鱈魚
Lotella phycis,褐潯鱈,,藻磯鬚稚鱈、鱈魚、深海鱈(澎湖)
Lotella tosaensis,土佐潯鱈,,鱈魚、深海鱈(澎湖)
Physiculus chigodarana,絲背小褐鱈,,鱈魚
Physiculus japonicus,日本小褐鱈,,日本鬚稚鱈、鱈魚
Physiculus longifilis,長鰭小褐鱈,,鱈魚
Physiculus nigripinnis,黑翼小褐鱈,,黑翼鬚稚鱈、鱈魚
Physiculus rhodopinnis,紅鰭小褐鱈,,鱈魚
Physiculus yoshidae,黑唇小褐鱈,,黑唇鬚稚鱈、鱈魚
Pterophycis spatium,大鰭稚鱈,,鬚稚鱈、鱈魚
Echiodon coheni,科氏底隱魚,科氏底潛魚,隱魚
Encheliophis boraborensis,博拉隱魚,博拉潛魚,博拉細潛魚、博拉隱魚、隱魚
Encheliophis gracilis,鰻形細隱魚,鰻形細潛魚,隱魚、海參鰻(澎湖)、纖細隱魚
Encheliophis homei,荷姆氏細隱魚,長胸細潛魚,荷姆氏隱魚、隱魚
Encheliophis sagamianus,佐上細隱魚,佐上細潛魚,密星隱魚、隱魚
Eurypleuron owasianum,日本突吻隱魚,日本突吻潛魚,底隱魚、隱魚
Onuxodon albometeori,流星鈎隱魚,,珍珠貝隱魚、隱魚
